Quadra;Bairro;Latitude;longitude;Espécie;nome comum;Hábito;PAP;Altura;Estado geral;;;
4;Centro;6959728;210021;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;2.15;11.69;Bom;;;
4;Centro;6959733;210069;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.6;11.9;Bom;;;
4;Centro;6959676;210076;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;1.46;11.9;Bom;;;
4;Centro;6959717;210035;Ceiba speciosa;Paineira;Árvore;2.1;11.9;Bom;;;
4;Centro;6959753;209052;Peltophorum dubium;Canafístula;Árvore;1.16;12.54;Bom;;;
4;Centro;6959757;209062;Peltophorum dubium;Canafístula;Árvore;1.62;13.36;Bom;;;
4;Centro;6959724;210089;Lagerstroemia indica;Resedá;Árvore;0.66;13.6;Bom;;;
4;Centro;6959732;210061;Caesalpinia peltophoroides;Sibipiruna;Árvore;1.48;13.6;Bom;;;
4;Centro;6959734;210055;Chamaecyparis obtusa;Cipreste;Árvore;1.58;15;Bom;;;
4;Centro;6959697;210112;Peltophorum dubium;Canafístula;Árvore;1.8;15.3;Bom;;;
4;Centro;6959690;210109;Jacaranda mimosifolia;Jacarandá-mimoso;Árvore;1.1;17;Bom;;;
4;Centro;6959705;210097;Peltophorum dubium;Canafístula;Árvore;2;17;Bom;;;
4;Centro;6959746;210056;Araucaria angustifolia ;Araucária;Árvore;1.65;17.3;Bom;;;
5;Centro;6959698;210136;Ficus benjamina;Figueira;Árvore;0.5;2.7;Péssimo;;;
5;Centro;6959650;210234;Ligustrum lucidum ;Legusto;Árvore;0.18;5.1;Bom;;;
5;Centro;6959605;210198;Ligustrum lucidum ;Legusto;Árvore;0.85;5.95;Regular;;;
5;Centro;6959702;210204;Ligustrum lucidum ;Legusto;Árvore;1.26;5.95;Péssimo;;;
5;Centro;6959723;210157;Caesalpinia peltophoroides;Sibipiruna;Árvore;1.26;11.9;Bom;;;
6;Centro;6959665;210255;Eriobotrya japonica;Ameixa;Árvore;0.65;5.1;Bom;;;
6;Centro;6959683;210256;Caesalpinia peltophoroides;Sibipiruna;Árvore;0.66;5.1;Bom;;;
6;Centro;6959667;210259;Inga marginata;Ingá-de-porco;Árvore;0.97;5.1;Bom;;;
6;Centro;6959665;210253;Cinnamomum zeylanicum;Canela-doce;Árvore;1.12;5.1;Regular;;;
6;Centro;6959638;210234;Ligustrum lucidum ;Legusto;Árvore;0.52;5.4;Bom;;;
6;Centro;6959605;210344;Inga marginata;Ingá-de-porco;Árvore;0.23;5.95;Bom;;;
6;Centro;6959538;210330;Lagerstroemia indica;Resedá;Árvore;0.43;5.95;Bom;;;
6;Centro;6959528;210296;Lagerstroemia indica;Resedá ;Árvore;0.6;5.95;Bom;;;
6;Centro;6959640;210233;Ligustrum lucidum ;Legusto;Árvore;0.4;6.2;Regular;;;
6;Centro;6959617;210350;Inga marginata;Ingá-de-porco;Árvore;0.34;6.8;Bom;;;
6;Centro;6959525;210304;Lagerstroemia indica;Resedá ;Árvore;0.43;6.8;Bom;;;
6;Centro;6959530;210300;Lagerstroemia indica;Resedá;Árvore;0.59;6.8;Bom;;;
6;Centro;6959535;210322;Lagerstroemia indica;Resedá ;Árvore;0.61;6.8;Bom;;;
6;Centro;6959644;210235;Ligustrum lucidum ;Legusto;Árvore;1.37;6.8;Péssimo;;;
6;Centro;6959531;210319;Lagerstroemia indica;Resedá;Árvore;0.42;8.5;Bom;;;
7;Centro;6959510;210352;Cinnamomum zeylanicum;Canela-doce;Árvore;0.25;3.44;Bom;;;
7;Centro;6959506;210402;Lagerstroemia indica;Resedá;Árvore;0.32;4.25;Bom;;;
7;Centro;6959613;210349;Ficus benjamina;figueira Benjamina;Árvore;0.24;5.01;Bom;;;
7;Centro;6959513;210390;Handroanthus chrysotrichus;Ipê;Árvore;0.35;5.01;Bom;;;
7;Centro;6959598;210471;Cinnamomum zeylanicum;Canela-doce;Árvore;0.5;5.01;Bom;;;
7;Centro;6959501;210366;Handroanthus chrysotrichus;Ipê;Árvore;0.23;5.1;Bom;;;
7;Centro;6959594;210471;Cinnamomum zeylanicum;Canela-doce;Árvore;0.61;5.1;Bom;;;
7;Centro;6959512;210375;Handroanthus chrysotrichus;Ipê;Árvore;0.38;5.45;Bom;;;
7;Centro;6959507;210361;Cinnamomum zeylanicum;Canela-doce;Árvore;0.23;5.5;Bom;;;
7;Centro;6959592;210459;Cinnamomum zeylanicum;Canela-doce;Árvore;0.93;5.84;Bom;;;
7;Centro;6959548;210329;Ligustrum lucidum ;Legusto;Árvore;0.41;6.68;Regular;;;
7;Centro;6959593;210458;Cinnamomum zeylanicum;Canela-doce;Árvore;0.96;6.8;Bom;;;
7;Centro;6959599;210348;Ficus benjamina;Figueira;Árvore;0.6;8.35;Bom;;;
7;Centro;6959601;210347;Mangifera indica;Mangueira;Árvore;0.63;8.35;Bom;;;
7;Centro;6959612;210352;Ligustrum lucidum ;Legusto;Árvore;1.3;8.35;Regular;;;
7;Centro;6959532;210320;Ligustrum lucidum ;Legusto;Árvore;1.8;8.35;Regular;;;
7;Centro;6959533;210321;Ligustrum lucidum ;Legusto;Árvore;1.43;9.4;Bom;;;
7;Centro;6959539;210331;Ligustrum lucidum ;Legusto;Árvore;1.91;10.18;Regular;;;
8;Centro;6959577;210503;Lagerstroemia indica;Resedá ;Árvore;0.38;3.4;Bom;;;
8;Centro;6959506;210486;Lagerstroemia indica;Resedá ;Árvore;0.18;3.8;Bom;;;
8;Centro;6959531;210470;Lagerstroemia indica;Resedá ;Árvore;0.35;3.8;Bom;;;
8;Centro;6959537;210546;Ligustrum lucidum ;Legusto;Árvore;1.46;5.01;Péssimo;;;
8;Centro;6959520;210467;Inga sessilis;Ingá-ferradura;Árvore;0.26;5.1;Bom;;;
8;Centro;6959548;210479;Lagerstroemia indica;Resedá ;Árvore;0.41;5.1;Bom;;;
8;Centro;6959517;210467;Inga sessilis;Ingá-ferradura;Árvore;0.42;5.1;Bom;;;
8;Centro;6959542;210477;Inga marginata;Ingá-de-porco;Árvore;0.45;5.1;Bom;;;
8;Centro;6959522;210545;Lagerstroemia indica;Resedá;Árvore;0.67;5.1;Bom;;;
8;Centro;6959517;210533;Lagerstroemia indica;Resedá;Árvore;0.67;5.1;Bom;;;
8;Centro;6959514;210510;Lagerstroemia indica;Resedá;Árvore;0.85;5.1;Bom;;;
8;Centro;6959560;210526;Lagerstroemia indica;Resedá;Árvore;0.87;5.1;Bom;;;
8;Centro;6959565;210503;Lagerstroemia indica;Resedá ;Árvore;1;5.1;Bom;;;
8;Centro;6959537;210545;Ligustrum lucidum ;Legusto;Árvore;1.18;5.1;Péssimo;;;
8;Centro;6959561;210525;Handroanthus chrysotrichus;Ipê;Árvore;0.44;5.3;Bom;;;
8;Centro;6959517;210527;Lagerstroemia indica;Resedá ;Árvore;0.39;6.8;Bom;;;
8;Centro;6959553;210484;Handroanthus chrysotrichus;Ipê;Árvore;0.55;6.8;Bom;;;
8;Centro;6959553;210547;Handroanthus chrysotrichus;Ipê;Árvore;0.57;6.8;Péssimo;;;
8;Centro;6959519;210521;Lagerstroemia indica;Resedá;Árvore;0.66;6.8;Bom;;;
8;Centro;6959524;210557;Lagerstroemia indica;Resedá ;Árvore;0.7;6.8;Bom;;;
8;Centro;6959562;210523;Lagerstroemia indica;Resedá;Árvore;1.55;6.8;Bom;;;
8;Centro;6959525;210541;Handroanthus chrysotrichus;Ipê;Árvore;0.67;8.35;Regular;;;
8;Centro;6959566;210483;Handroanthus chrysotrichus;Ipê;Árvore;0.5;8.5;Bom;;;
8;Centro;6959524;210565;Handroanthus heptaphyllus;Ipê-roxo;Árvore;0.96;8.5;Bom;;;
8;Centro;6959516;210516;Lagerstroemia indica;Resedá ;Árvore;0.8;9.2;Bom;;;
8;Centro;6959558;210484;Handroanthus chrysotrichus;Ipê;Árvore;0.48;9.8;Bom;;;
8;Centro;6959631;210541;Ligustrum lucidum ;Legusto;Árvore;1.59;10.02;Regular;;;
8;Centro;6959511;210503;Mangifera indica;Mangueira;Árvore;1.41;10.15;Bom;;;
8;Centro;6959527;210540;Ligustrum lucidum ;Legusto;Árvore;1.6;10.2;Regular;;;
8;Centro;6959566;210497;Handroanthus heptaphyllus;Ipê-roxo;Árvore;1.81;10.2;Bom;;;
8;Centro;6959574;210495;Handroanthus heptaphyllus;Ipê-roxo;Árvore;1.89;10.2;Bom;;;
8;Centro;6959510;210495;Peltophorum dubium;Canafístula;Árvore;0.72;11.2;Bom;;;
8;Centro;6959526;210544;Handroanthus chrysotrichus;Ipê;Árvore;0.79;11.69;Bom;;;
9;Centro;6959442;210531;Inga marginata;Ingá-de-porco;Árvore;0.48;2.5;Bom;;;
9;Centro;6959454;210502;Inga sessilis;Ingá-ferradura;Árvore;0.15;3.4;Bom;;;
9;Centro;6959461;210541;Inga sessilis;Ingá-ferradura;Árvore;0.19;3.4;Bom;;;
9;Centro;6959448;210511;Inga sessilis;Ingá-ferradura;Árvore;0.29;4.17;Bom;;;
9;Centro;6959494;210462;Handroanthus chrysotrichus;Ipê;Árvore;0.65;5.01;Bom;;;
9;Centro;6959511;210531;Inga marginata;Ingá-de-porco;Árvore;0.35;5.1;Bom;;;
9;Centro;6959454;210539;Ligustrum lucidum ;Legusto;Árvore;0.94;5.1;Regular;;;
9;Centro;6959462;210481;Ligustrum lucidum ;Legusto;Árvore;1.04;5.1;Bom;;;
